Lorraine;Autour du Zinc;4, rue Dupont-des-Loges;Metz;57000;
Lorraine;L'Échanson;9, rue de la Primatiale;Nancy;54000;
Lorraine;Le Coup du monocle;79, rue Saint-Georges;Nancy;54000;
Lorraine;Le Cyrano;7, Grande-Rue;Nancy;54000;
Midi-Pyrénées;La Grappe d'Or;104, Avenue du Général-de-Gaulle;Albi;81990;
Midi-Pyrénées;La Table du Sommelier;20, rue Porta,;Albi;81990;
Midi-Pyrénées;Le Nabuchodonosor;15, rue du Coq-d'Inde;Toulouse;31500;
Midi-Pyrénées;Le Mauzac;19, boulevard Lascrosses;Toulouse;31500;
Midi-Pyrénées;L'Oenotilus;Passerelle des Soupirs;Toulouse;31500;
Midi-Pyrénées;La Cave d'Artagnan;3, rue de la République;Auch;39810;
Midi-Pyrénées;Le Dousil;124, rue Nationale;Cahors;46000;
Nord;Au Gré du Vin;20, rue Pétérinck;Lille;59800;
Nord;Monsieur Jacques;30, rue de Gand;Lille;59800;
Nord;Le Pot Beaujolais;26, rue de Paris;Lille;59800;
Nord;So Lounge;57, rue Basse;Lille;59800;
Nord;La Part des Anges;50, rue de la Monnaie;Lille;59800;
Nord;Le Square d'Aramis;52, rue Basse;Lille;59800;
Normandie;Le Grand Herbert;La Plage;Blainville-sur-Mer;50560;
Normandie;Le Bacaretto;44, rue Chaussée;Honfleur;14600;
Normandie;Le Verre bouteille;38, rue Écuyère;Caen;14000;
Pays de la Loire;Le Tire-Bouchon;7, place de la Visitation;Angers;49000;
Pays de la Loire;Chez Miton;15, place de l'Église;Chahaignes;72340;
Pays de la Loire;Le Jasnière;8, place de la République;La Chartre-sur-le-loir;72340;
Pays de la Loire;Le Bar à vin;3, rue du Cornet;Le Mans;72100;
Pays de la Loire;La Provence;2, rue Vauban;Nantes;44200;
Pays de la Loire;Le Vindivin;8, rue grande Blesse;Nantes;44200;
Pays de la Loire;Autour du vin;4, rue Chapelier;Nantes;44200;
Pays de la Loire;Les Bouteilles;22 rue Armand-Bossard;Nantes;44200;
Pays de la Loire;Le Bouchon angevin;44, rue Beaurepaire;Angers;49000;
Pays de la Loire;La Villa Toussaint;43, rue Toussaint;Angers;49000;
Pays de la Loire;Le Bazar;41, rue Parcheminerie;Laval;53000;
Pays de la Loire;Cent'Halles vins;Rue Georges-Coupeau;Amiens;80090;
Picardie;Le Cajou;5, passage du Logis-du-Roy;Compiègne;60200;
Picardie;Les Accordailles;24, rue d'Ulm;Compiègne;60200;
Picardie;Le Bouchon;4, rue d'Austerlitz;Angoulême;16000;
Poitou-Charentes;La Cave Wine bar;13, rue Ludovic-Trarieux;La Rochelle;17000;
Poitou-Charentes;Le Caveau du Sommelier;46, rue Saint-Jean-du-Pérot;Poitiers;86000;
Poitou-Charentes;Au coin des vignes;169, Grand'Rue;Poitiers;86000;
Poitou-Charentes;Vignes et terroirs;16, rue du Bois-d'Amour;Poitiers;86000;
Poitou-Charentes;Le Dit Vin;12, rue Saint-Jean-du-Pérot;La Rochelle;17000;
Poitou-Charentes;La Solette Café;17, rue de la Fourche;La Rochelle;17000;
Provence-Alpes-Côte d'Azur;AOC;5, rue Trémoulet;Avignon;84000;
Provence-Alpes-Côte d'Azur;La Cave du marché;3, place du Marché-Forville;Cannes;6400;
Provence-Alpes-Côte d'Azur;Le Chai Cassidain;6, rue Séverin-Icard;Cassis;13260;
Provence-Alpes-Côte d'Azur;L'Entre-Pots;24, rue de la Grande-Armée;Marseille;13000;
Provence-Alpes-Côte d'Azur;La Part des Anges;33, rue Sainte;Nice;6100;
Provence-Alpes-Côte d'Azur;La Part des Anges;17, rue Gubernatis;Nice;6100;
Provence-Alpes-Côte d'Azur;Le Bistrot Découverte;19, Boulevard Victor-Hugo;Saint-Rémy-de-Provence;13210;
Provence-Alpes-Côte d'Azur;Au Domaine;28, place de l'Horloge;Avignon;84000;
Provence-Alpes-Côte d'Azur;Vin sur 20;18 bis, rue de Biscarra;Nice;6100;
Rhône-Alpes;Le Bistrot de Serine;16, boulevard des Allées;Ampuis;69420;
Rhône-Alpes;L'Atelier;59, rue de la République;Chambéry;73000;
Rhône-Alpes;Le Café de Lyon;29, place Monge;Chambéry;73000;
Rhône-Alpes;Le Bistrot;151, avenue de l'Aiguille-du-Midi;Chamonix;74400;
Rhône-Alpes;Le Styx;6, place Claveyson;Grenoble;38000;
Rhône-Alpes;LE XO;1, rue Barnave;Grenoble;38000;
Rhône-Alpes;La Cave des voyageurs;7, place Saint-Paul;Lyon;69005;
Rhône-Alpes;L'Harmonie des vins;9, rue Neuve;Lyon;69001;
Rhône-Alpes;Le Vercoquin;33, rue de la Thibaudière;Lyon;69007;
Rhône-Alpes;Le Bar du passage;8, rue du Plâtre;Lyon;69001;
Rhône-Alpes;Aux Gourmands;8, place du Marché;Montélimar;26200;
Rhône-Alpes;Les Terrasses du Rhône;13, rue Joseph-Peala;Tain-l'Hermitage;26600;
Rhône-Alpes;La Cave d'à côté ;7, rue Pleney;Lyon;69001;
Rhône-Alpes;Le Casse-Museau;2, rue Chavanne;Lyon;69001;
Rhône-Alpes;Cassoulet, whisky, ping-pong;4 ter, rue de Belfort;Lyon;69004;
Rhône-Alpes;Aromo;15, rue Montesquieu;Lyon;69007;
Rhône-Alpes;Le Phosphore;1, rue de L'Antiquaille;Lyon;69005;
Rhône-Alpes;Le Ballon;14, rue Palais Grillet;Lyon;69002;
Rhône-Alpes;Autour d'un verre;20, rue Longue;Lyon;69001;
